fdc_id,food_name,description,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,potassium_mg,phosphorus_mg,canonical_name,gi_value,gi_category,gi_match_type
171849,bread,"bread, cinnamon",253.0,7.05,5.29,44.38,14.11,3.5,388.0,74.0,57.0,bread,,unknown,unmatched
171850,bread,"bread, wheat, sprouted",188.0,13.16,0.0,33.88,2.63,5.3,474.0,198.0,176.0,bread,,unknown,unmatched
171851,bread,"bread, wheat, sprouted, toasted",205.0,14.3,0.0,36.82,2.86,5.7,515.0,215.0,192.0,bread,,unknown,unmatched
171852,bagels,"bagels, multigrain",241.0,9.9,1.24,47.47,8.66,6.2,359.0,204.0,188.0,bagels,,unknown,unmatched
171861,rolls,"rolls, gluten-free, white, made with brown rice flour, tapioca starch, and potato starch",310.0,7.99,6.4,55.1,9.53,3.6,707.0,161.0,126.0,rolls,,unknown,unmatched
171862,rolls,"rolls, gluten-free, white, made with rice flour, rice starch, and corn starch",239.0,3.34,2.65,50.47,6.87,5.1,593.0,76.0,50.0,rolls,,unknown,unmatched
171863,rolls,"rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour",257.0,5.65,8.2,40.24,2.98,2.9,544.0,165.0,128.0,rolls,,unknown,unmatched
171864,rolls,"rolls, gluten-free, whole grain, made with tapioca starch and brown rice flour",329.0,11.8,11.6,44.29,4.2,11.2,507.0,273.0,233.0,rolls,,unknown,unmatched
171869,beverages,"beverages, carbonated, tonic water",34.0,0.0,0.0,8.8,8.8,0.0,12.0,0.0,0.0,beverages,,unknown,unmatched
171870,beverages,"beverages, energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12",5.0,0.25,0.08,0.7,0.0,0.0,83.0,3.0,0.0,beverages,,unknown,unmatched
171871,beverages,"beverages, carbonated, root beer",41.0,0.0,0.0,10.6,10.6,0.0,13.0,1.0,0.0,beverages,,unknown,unmatched
171872,alcoholic beverage,"alcoholic beverage, wine, table, red, gamay",78.0,0.07,0.0,2.38,0.0,0.0,,,,alcoholic beverage,,unknown,unmatched
171873,beverages,"beverages, chocolate drink, milk and soy based, ready to drink, fortified",101.0,4.22,1.69,17.3,8.44,1.3,63.0,245.0,127.0,beverages,,unknown,unmatched
171874,beverages,"beverages, chocolate malt powder, prepared with 1% milk, fortified",57.0,3.32,0.97,8.81,7.81,0.0,60.0,191.0,94.0,beverages,,unknown,unmatched
171875,beverages,"beverages, carbonated, limeade, high caffeine",17.0,0.0,0.11,4.11,3.97,0.0,40.0,19.0,29.0,beverages,,unknown,unmatched
